text,sentiment,Time of Tweet,Age of User,Land Area (Km²),Continent,Density_Level,Population_Group
i know i was wrong. maybe i shouldnt did all of those **** things like that,negative,morning,0-20,62700.0,EU,Low,Medium
 you`re welcome Chica,positive,noon,21-30,2590.0,EU,Medium,Low
" I`m fine, I`ve just been trying to figure out the meaning behind this song, and I cant think of anything.  urlm.in/cnmt",positive,night,31-45,581795.0,AF,Low,Medium
 oh no I hate that,negative,noon,60-70,328550.0,AS,Low,Medium
 holy cute! Dexter has already lost his kitten face  gettin a chunky butt since we got back from qld too haha,positive,noon,21-30,320.0,EU,High,Low
#Supernatural at 9:30pm on #Ten.. Counting down..,negative,morning,46-60,1030700.0,AF,Low,Medium
A Banana and 2 cups of Coffee...Not a so Healthy Breakfast!,negative,night,70-100,1943950.0,NA,Low,High
Ooh hayfever has struck..thought I was going to avoid it this year but nooo!  Remedies anyone...?,negative,noon,21-30,32850.0,EU,Medium,Medium
 I never was good at platform games...,negative,night,31-45,1.0,EU,High,Low
 womp womp woooomp!,positive,morning,46-60,1553560.0,AS,Low,Medium
 if its too hard go to ur guy peicing person and he shoud change it cause mine be hard to change to,negative,night,70-100,446300.0,AF,Low,Medium
 u were doing good with the replys now u fallin off sad face,negative,morning,0-20,786380.0,AF,Low,Medium
" Uhhh.. not yet, maybe my DM inbox is just slow. I`ll let you know when it shows",negative,night,70-100,33720.0,EU,High,Medium
Ugh feeling sick to my stomach and I have five more hours of work to go,negative,noon,21-30,120340.0,NA,Low,Medium
 Hey I saw SNL 2nite&I loved it!! especially the crumpin` ****-**** scene  'crumpin`34 dub' wow hilarious,positive,night,31-45,1266700.0,AF,Low,Medium
 maybe I missed my chance this time,negative,morning,46-60,910770.0,AF,Medium,High
paramore songs? one of the best! currently listening to 'emergency',positive,noon,60-70,120410.0,AS,Medium,Medium
 Not Columbus but just wanted to say sorry to be missing Indiana show tomorrow. So sad  I will be in the woods with 8 GS.,negative,night,70-100,25220.0,EU,Low,Medium
 A new baby? How exciting  Congrats in advance,positive,morning,0-20,365000.0,EU,Low,Medium
" Yes, this NBA song is great!!!  Got an old funny NBA cheerleader remix song. Ohrwurm of the day 'colorblind'.",positive,noon,21-30,309500.0,AS,Low,Medium
"Pegel..cape ya keliling kuil..but,totally awesome!was amazed by the temple,culture,ambience..truly amazing thailand",positive,night,31-45,770880.0,AS,Medium,High
" just looked at your page and realised it was a radio show, get them to play Call It What You Want so love that track",positive,morning,46-60,460.0,OC,Low,Low
" That`s the problem. The earphones I get here don`t last more than 2 months, no matter what brand or price.",negative,noon,60-70,6020.0,Other,High,Medium
"YM, meebo & ebuddy really hate us      ",negative,morning,0-20,452860.0,OC,Low,Medium
White House joins social networking sites > http://bit.ly/15Fo4X - better late than never,positive,noon,21-30,397300.0,SA,Low,Medium
 So true Donna  Wish you a joyfull sunday ~Siddy,positive,morning,46-60,298170.0,AS,Medium,High
" juice! I miss juice, any fruit",negative,morning,0-20,11610.0,AS,Medium,Medium
"  cool, i saw it now in the link thanks",positive,night,31-45,16376870.0,EU,Low,High
"Ahhh, 7 am meetings  thanks Reimer!",negative,morning,46-60,24670.0,AF,High,Medium
" Thx! Old computer here, too slow for both Kubuntu and Blender really.",negative,noon,60-70,260.0,NA,Medium,Low
Still Doing Grench paper and still getting distracted,negative,morning,46-60,960.0,AF,Medium,Low
  I saw you started following me -  Welcome - what do you do in AKL and for whom?,positive,noon,60-70,2149690.0,AS,Low,Medium
so i got to my exam centre n they said we can`t let u becuz of your sleeveless top! U cud BELIEVE that!? i had to go home,negative,morning,0-20,87460.0,EU,Low,Medium
figuring out wats wrong with her she can drink but cant eat  ...,negative,noon,21-30,460.0,AF,Medium,Low
"Fyi- putting makeup on under flourescents = FAIL. ... oh face-peely, why must you look so hideous? Also, wheres my lipstick?",negative,morning,46-60,700.0,AS,High,Medium
 Sadly cannot listen...  *sob*,negative,night,70-100,20140.0,EU,Medium,Medium
"friday here at last, not much fun when your skint though",negative,night,31-45,1213090.0,AF,Low,Medium
" Don`t fall to celebrity worship, though... just write what you think, do the best you can and rock on",positive,noon,60-70,610952.0,AF,Low,Medium
"I`m home, Yay! Unpacked everything, now just got to wash it all",positive,night,70-100,498800.0,EU,Low,Medium
"wow my grandma passed away....I`m too sick to even think, I know she`s in a better place now",negative,morning,0-20,62710.0,AS,Medium,Medium
" That was my entire week!! I didn`t get to design once while at my GRAPHIC DESIGN job, only at home doing freelance. Sad.",negative,night,31-45,156000.0,SA,Low,Low
"in case you missed it on my fb status: looking for maui hotel recommendations. yes, maui!",negative,morning,46-60,410340.0,EU,Low,Medium
Happy Star Wars day! May the 4th be with you!,positive,noon,60-70,39500.0,EU,Medium,Medium
it`s good to see all my family  was a good day today,positive,night,70-100,183630.0,AS,Low,Medium
 okay thank you! i can`t find it,positive,morning,0-20,139960.0,AS,Low,Medium
"actually, i think i`m being mean to her....i feel sorry now",negative,noon,21-30,885800.0,AF,Low,Medium
 i missed the game,negative,morning,46-60,14870.0,Other,Low,Medium
When are  gonna release another album already?!? I miss them,negative,noon,60-70,54390.0,AF,Medium,Medium
" oh dear.  that is terrible. however, moleskine notebooks rule. a lot.",negative,night,70-100,720.0,OC,Medium,Low
 I don`t mind him not paying rent. I`m just over the moon at the idea of him moving out at least 12 years early,positive,morning,0-20,5130.0,NA,Medium,Medium
why do i have to wake up so early goddam?! 7.30 on my last day off  bummer,negative,night,31-45,770000.0,AS,Medium,Medium
Always get my hopes up too soon...we were soooo close,positive,morning,46-60,469930.0,AS,Low,Medium
  will have to wait on the recipe at Simply Recipes.  Sorries!,negative,noon,60-70,30.0,OC,Medium,Low
"I just put my TV on the Canucks game and they score  yaay come on VanCity baby (I know, I can`t believe I`m watching hockey either)",positive,night,70-100,199810.0,AF,Medium,Medium
The Skimchamp Taxi Service!  best in the land!,positive,morning,0-20,579320.0,EU,Low,Medium
My knee is killing me,negative,noon,21-30,83600.0,AS,Medium,Medium
" Plus you guys have IceTV, which I REALLY miss from living there.",negative,night,31-45,241930.0,EU,Medium,Medium
"And here goes my first Twitter from #TwitterBerry Application from my #BlackBerry Bold 9000..  Cheers, long live.. #SMR",positive,morning,46-60,9147420.0,NA,Low,High
" awww  no problem , sorry for tha loss",positive,noon,60-70,175020.0,SA,Low,Medium
" Have fun, hon! Ooh, look what a poet I am.",positive,night,70-100,425400.0,AS,Low,Medium
 it`s definitely worth it; art not withstanding  I hate moving; and hate packing even more..,negative,night,31-45,310070.0,AS,Medium,Medium
 really enjoyed the podcast with  This was my 1st time listenening to the show. Will def listen from now on,positive,morning,46-60,527970.0,AS,Low,Medium
doesn`t sound so great at all  http://is.gd/JslB #palmpre,negative,morning,0-20,652860.0,AS,Low,Medium
dam just finished watching Prison Break: the final break...omg i dont think i`ve cried so hard for a show..Finally understand the finale,positive,morning,46-60,470.0,EU,Medium,Low
_Songs I know  Especially since the summer is such a boring TV time to begin with.,negative,noon,21-30,28470.0,AS,Medium,Medium
 Alternate name for a 'Bacon Mary'... A 'Bloody Piggy!' ;) (I have to give my boyfriend credit for that idea!),positive,night,31-45,7682300.0,OC,Low,Medium
 now that you say that you do look like demi  hahaha!! Yessss august 2nd will be a blast,positive,morning,46-60,82400.0,EU,Medium,Medium
wondering if my local Borders is going to make it. Lots of bare shelves... It makes me sad,negative,noon,60-70,82658.0,AS,Medium,Medium
" hey, have a great gig! We`ll have to do exchange of tracks via ze emayal  I`m all lost in loops right now and still writing ****",positive,night,70-100,10010.0,NA,Low,Low
That sucks that u have 2 go through that  id b pissed 2,negative,night,31-45,430.0,NA,High,Low
 http://twitpic.com/2dmtn - I saw this pic and it reminded me of you in Anna and the King.. so cuuuute little fella,positive,morning,46-60,202910.0,EU,Low,Medium
" hi cs, welcome to the twitterverse, if i can help with anything, just ask",positive,night,70-100,22810.0,NA,Low,Low
JONAS rocked tonight!  going to bed after I write a lil bit... Night and bless all,positive,night,31-45,1083300.0,SA,Low,Medium
" ugh something is wrong, suddenly I feel extremely flushed and shaky and I broke out in a sweat. Idk what`s wrong.",negative,morning,46-60,51000.0,EU,Low,Medium
10 Cutest Cat moments video - http://shrt.st/4ce - enjoy,positive,morning,0-20,5270.0,AS,Low,Low
Today is a blessed day,positive,noon,21-30,108560.0,EU,Low,Medium
 that doesnt look good at all.,negative,night,31-45,273600.0,AF,Low,Medium
" Good Morning, good wakeup music",positive,morning,46-60,25680.0,AF,Medium,Medium
Goin to the mall and gonna see the movie ghost of gfs past i hope its good and top it all im goin alone  but ilook cute and feel good ^^,positive,noon,60-70,318000.0,AF,Low,Medium
I`m sooo HAPPY Demi`s back on twitter!,positive,night,70-100,4030.0,AF,Medium,Low
http://twitpic.com/4wsue - yeah  well thanks *blushes*,positive,morning,0-20,176520.0,AS,Low,Medium
Borrowing my Mom`s Lenovo laptop The trackpad and the battery life suck balls for quarters. Seriously missing my MacBook Pro,negative,night,31-45,9093510.0,NA,Low,Medium
" 'ICANT LIVE, i cant live!!!' lmao. Oh and btw - oooowwwch my foot  hurry with that plaster, im going to bleed to death",negative,morning,46-60,622980.0,AF,Low,Medium
 *waves back* Have a good day,positive,night,70-100,743532.0,SA,Low,Medium
"Ugh.. apparantly doc authorized my refills on tuesday (and ready to be picked up), but the order status online still says waiting review.",negative,noon,21-30,1109500.0,SA,Low,Medium
We`re practicing our blackjack skills. It doesn`t look hopeful.  http://yfrog.com/0l2tsj,negative,morning,46-60,342000.0,Other,Low,Medium
_crumbles all the best for art attack. thanks 4d follow,positive,night,70-100,55960.0,EU,Low,Medium
"Working on a bank holiday, but I don`t mind - it`s all good fun",positive,morning,0-20,106440.0,NA,Medium,Medium
" My original non-Yahoo acc. was deleted when they got bought-out  But it`s not too bad, I don`t receive any Yahoo-spam from it.",positive,night,31-45,77240.0,Other,Medium,Medium
_d Wish Leigh a Happy Mother`s Day for me! It`s midnight in NY,positive,morning,46-60,2267050.0,AF,Low,Medium
is online shopping...fantastic,positive,noon,60-70,42430.0,EU,Medium,Medium
I`m enjoying this Sunday very much. No parents. No revision. Just like any other Sunday,positive,night,70-100,23180.0,AF,Low,Low
 nope- dnt have wireless ne more  HATERS!!!! Ugh... Save me a copy so I can watch it...,negative,night,31-45,248360.0,SA,Low,Medium
" is making cupcakes and says i can`t have any  kelli, you`re a bad sister.",negative,noon,60-70,20720.0,NA,Medium,Medium
"sorry to hear that  It`s going okay, just tweeting away  ",negative,night,70-100,28050.0,AF,Low,Medium
i DID argue with byron because he said im fat,negative,morning,0-20,101000.0,AF,Low,Medium
Just uploading photos from the cell...nothin like true candid-ness!,negative,noon,21-30,42390.0,EU,Low,Medium
"my entire body hurts.  shower, hot tea and tv please..",negative,night,31-45,17200.0,Other,Low,Medium
because I just lost my first Field Notes notebook 6 pages before filling it up!! RIP  #fieldnotes,negative,morning,46-60,1000000.0,AF,Medium,High
seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really,negative,night,31-45,10120.0,AF,Medium,Medium
"_oliver No Happy Mums day for the Mums, only the guys????",negative,morning,46-60,69490.0,AS,Low,Medium
 oh how i wish there were chick a filas by me  i`m definently jealous.,negative,night,70-100,227540.0,AF,Medium,Medium
" Wow, I`ve officially lost all faith in Britain, looks like our wishes weren`t met, sadly",negative,morning,0-20,128900.0,EU,Low,Medium
office hours/trying to make my computer feel better.,positive,noon,21-30,340.0,NA,Medium,Low
well dnt really knw wot to do stay wit some 1 who doesnt want 2 b wiv me or move home to rents after 4yr of bein away,negative,noon,60-70,28120.0,AF,Low,Medium
" watched the standard dvd 3d version, no blu in UK yet, 3d effect was best I have seen on home system yet, **** in 3d",positive,night,70-100,196850.0,SA,Low,Low
" Reminders are good! Speaking of which, we haven`t had a Posture Check in awhile.....",positive,morning,46-60,90530.0,EU,Medium,Medium
_ What did he say about it?? Gosh! I missed the yesterday live chat.. I was at bed.. sick,negative,noon,60-70,100250.0,EU,Low,Low
" and Amanda Peet in A lot Like Love. Loves it.. Classic, really",positive,night,70-100,2973190.0,AS,Medium,High
OMGSH IM BEING FOLLOWED BY >>PARAMORE<< :O,positive,morning,0-20,1811570.0,AS,Medium,High
" Thank you, I will have a look",positive,night,31-45,434320.0,AS,Low,Medium
"I want to see my friends  Mindless fun. No work, all play. All drunk, all walwal. All being mean to each other and sleeping in one bed",positive,noon,60-70,21640.0,AS,Medium,Medium
"good morning twitter-ers  rise and shine,, just on my way to school",positive,morning,0-20,10830.0,NA,Medium,Medium
Will cook a sumptuous lunch today,positive,night,31-45,88780.0,AS,Medium,Medium
studying out of spite. whatever.. Wonderful unforgettable weekend with DC,positive,morning,0-20,17820.0,AS,Medium,Medium
Jeff was right! Call of Duty pwns. Now i just gotta figure out what to do with this xtra copy of Wolvarine I bought earlier this week.,positive,noon,21-30,191800.0,AS,Low,Medium
Had a nice chat with an old frnd... its been a while since v talked  was fun...,positive,night,31-45,230800.0,AS,Low,Medium
 never invite,negative,morning,46-60,62200.0,EU,Low,Medium
looks like another sober weekend ahead...,negative,night,70-100,30360.0,AF,Low,Medium
Sooo.....I`m kind of sick n tired of the bs that guys dish out  !!!!!!!!,negative,morning,0-20,96320.0,AF,Low,Medium
" Just for reference, I don`t own that dress either. Sounds like LH was a good Fopp buy then",positive,night,31-45,160.0,EU,Medium,Low
bahhhh.. cold weather is making my teeth hurt.,negative,noon,60-70,2590.0,EU,Medium,Low
is watching 'Sicko' and is utterly digusted with this country...,negative,night,31-45,300.0,AS,High,Low
Ugh..  this sucks.,negative,morning,46-60,1220190.0,AF,Low,Medium
Loves him but most importantly loves my mom! Happy Mothers Day!,positive,noon,60-70,320.0,EU,High,Low
" - no,  is buttfuck stupid. I`m just silly and forgetful",negative,night,70-100,180.0,OC,Medium,Low
"I am the empitome of epic fail, just you know, more epic than fail.",negative,noon,21-30,2030.0,AF,High,Medium
 sorry to hear that,negative,night,31-45,1943950.0,NA,Low,High
OMG  I BROKE DOWN AND HAD PIZZA BECAUSE I WAS STRESSED OUT     you mad at me?,negative,morning,46-60,700.0,OC,Medium,Low
thinking of you   why we canÃ¯Â¿Â½t control our thoughts?,negative,night,70-100,1.0,EU,High,Low
"Holy ****...Sharapova is taking a beating from an unseeded qualifier...ok, o back to doubles!",negative,morning,0-20,1553560.0,AS,Low,Medium
 oh my... now im offended.  ha,negative,noon,21-30,13450.0,EU,Low,Low
 did you finish twilight? i did! and i wish it wasnt over,positive,night,31-45,446300.0,AF,Low,Medium
 Yum. Thanks.  Just getting dressed and waiting for my washing to finish so I can hang it up.  I`ll text you when I set off,positive,morning,46-60,786380.0,AF,Low,Medium
wellity! i think ima gonna clean my room :| ****. i need to read a good book. sense and sensibility here we come! BEAT THE LILY,positive,noon,60-70,653290.0,Other,Low,Medium
I wish Joe Bidden was on the train with me.,positive,night,31-45,33720.0,EU,High,Medium
im still devastated about manchester united losing the UCL final,negative,night,70-100,1266700.0,AF,Low,Medium
Digiqom welcomed new team members in the company today,positive,noon,21-30,120410.0,AS,Medium,Medium
_O haha .. i`m from philippines!  i just want to follow you!,positive,night,31-45,25220.0,EU,Low,Medium
 that`s meAn,negative,night,70-100,770880.0,AS,Medium,High
_bach Thank you for YOUR positive energy + contributions here!,positive,morning,0-20,460.0,OC,Low,Low
im grounded tonight  i hate stupid silent mode,negative,noon,21-30,6020.0,Other,High,Medium
Good Morning All!   Hope everyone is doing well on this Monday!   Thanks for all the #followfriday recos!   I am blessed!,positive,morning,0-20,298170.0,AS,Medium,High
animating an ad for work. One of my favorite things to do. So much so that I`m doing it on a saturday night for fun!,positive,noon,21-30,306000.0,EU,Medium,Medium
 TINK! (whatever the **** it means!!) from your JKUK girls! Show us some love! ;)  ****,positive,noon,60-70,230170.0,EU,Low,Medium
_Girl well something thaz quick please,positive,night,70-100,16376870.0,EU,Low,High
 hale yeahhh that`s the coolest part about it ;) hahaha. And I can match grieco!,positive,night,31-45,610.0,NA,Medium,Low
HAPPY MOTHERS DAY MOM!,positive,morning,46-60,390.0,NA,Medium,Low
I have been married 1 year to the most wonderful man,positive,noon,60-70,2830.0,OC,Low,Low
http://twitpic.com/67k9w - - My besties. If only  was there.,positive,night,70-100,60.0,EU,High,Low
Omg ! BGT making me cry  . That wee girl  it`s soo sad.,negative,noon,21-30,2149690.0,AS,Low,Medium
"Just got finished watching marley and me, and I cried like a **** baby...I`m missing my beast like crazy!",negative,night,70-100,72180.0,AF,Medium,Medium
Today was sooo boring in school. I was sleeping all the time,negative,morning,0-20,700.0,AS,High,Medium
"Will this rain ever go away, my puppy is getting cabin fever and she doesn`t like going out in the rain",negative,noon,21-30,48088.0,EU,Medium,Medium
Chilling with some tv quite bored at the moment,negative,morning,46-60,28000.0,OC,Low,Low
Happy Mother`s Dayyyy. Love you mummyyyyyyyy,positive,night,70-100,1213090.0,AF,Low,Medium
" so glad, I hope yall make it back down near New Orleans",positive,morning,0-20,97230.0,AS,High,Medium
 that breaks my heart,negative,night,31-45,498800.0,EU,Low,Medium
I hate watchn things that make me sad n wana cry,negative,noon,60-70,1765048.0,AF,Low,Medium
Who builds a hotel without air-con? Bloody boiling in here...,negative,morning,0-20,410340.0,EU,Low,Medium
"wanna b marie antoinette, cos she had perfect hairdo, fab clothes, n tons of macarons.  Crappy day",negative,noon,21-30,39500.0,EU,Medium,Medium
 i miss youuu and i wish i was dodging semis with you,negative,night,31-45,183630.0,AS,Low,Medium
Oh no! My kindergarten teacher died  Mrs. Collinson always remembered every student she ever had. Loved that lady.,positive,noon,60-70,885800.0,AF,Low,Medium
 !!! It`s fantastic!,positive,night,70-100,510890.0,AS,Medium,Medium
well going to sleep peoples!! night all twitterers!! loves ya!  *Welcome Home*,positive,noon,21-30,54390.0,AF,Medium,Medium
hi  thanks for the follow  good luck with your friend? ha,positive,night,31-45,720.0,OC,Medium,Low
Taco Bell With The Tramp!Yesssssir,positive,morning,46-60,5130.0,NA,Medium,Medium
/ happy mommy`s day,positive,night,70-100,770000.0,AS,Medium,Medium
New York from 1500ft looks rather good. Last night in the Big Apple.,positive,night,70-100,241930.0,EU,Medium,Medium
 Hell unlucky! :O and and it comes out next week here.,negative,noon,21-30,175020.0,SA,Low,Medium
 boo! I must`ve deleted it from my phone!  can`t find it in my emails either!,negative,night,31-45,425400.0,AS,Low,Medium
 good luck with it..Do well!! My best wishes are with you!,positive,morning,46-60,12200.0,OC,Low,Low
"Have lots 2do as usual! laundry, thanking God, cleaning house, praising God, cutting the hedge and thanking and praising God some more!",positive,noon,60-70,882050.0,SA,Low,Medium
 Good luck tonight! have fun,positive,night,70-100,310070.0,AS,Medium,Medium
 it`s not working here,negative,morning,0-20,527970.0,AS,Low,Medium
why must the weather b so nice and then so bad all in 1 minute,positive,noon,21-30,743390.0,AF,Low,Medium
 wish i was but im in chicago,negative,night,31-45,386850.0,AF,Low,Medium
OMG... I just learned that the little girl who played Ducky in the very first Land Before Time movie was murdered at the age of 10. WTF?,negative,noon,60-70,27400.0,EU,Medium,Medium
" yeah i know hun, spammers seem to move fast though, already had two in first few minutes of posting.  Block `em",negative,night,70-100,2381740.0,AF,Low,Medium
I wish pitchfork would shutup about #primavera.  Makes me miss spain,negative,noon,21-30,1246700.0,AF,Low,Medium
i am on BLAZE and my head hurts.,negative,night,31-45,440.0,NA,Medium,Low
 kenny u alive!!!...I`m here getting da hair done..to bad I`m not chillin w/ u todat  kinda sad,negative,morning,46-60,2736690.0,SA,Low,Medium
 oh man! They better do something to fix that!! ugh stupid Verizon,negative,noon,60-70,28470.0,AS,Medium,Medium
lol exams i didn`t go to mcast or other school i finished form 5 and that`s it soo disappointed in myself,negative,noon,21-30,82658.0,AS,Medium,Medium
Dead gerbil,negative,morning,46-60,760.0,AS,High,Medium
Happy STAR WARS Day - May the fourth be with you!,positive,noon,60-70,130170.0,AS,High,High
oh how i love texting my drunk friends  hahahaha,positive,night,70-100,430.0,NA,High,Low
 I thought it was a simple one  I found it hilarious.,positive,noon,21-30,30280.0,EU,Medium,Medium
just woke up and feeling real good cause of krispy kreme. I WANT ME SOME DOUGHNUTS,positive,night,70-100,1083300.0,SA,Low,Medium
Okay i feel really sick now,negative,noon,21-30,566730.0,AF,Low,Medium
lohang: is listening to music. really happy about !librefm #audacious combination  here`s my profile http://is.. http://tinyurl.com/r5o3zj,positive,morning,46-60,5270.0,AS,Low,Low
 i think twitter hates every1 when it comes 2 photos! took me ages the other day 2 change my pic!! especially at this time!,negative,noon,60-70,108560.0,EU,Low,Medium
Traffic jam outside of chicago. I feel very 'office space' right now.,positive,night,70-100,273600.0,AF,Low,Medium
 Can`t wait to see it tonite!! should be hilarious,positive,morning,0-20,25680.0,AF,Medium,Medium
Chillin Waitin For My Hunny Baby To Get Out Of Work!!!!!  To Get My Drink On While Finishin Da Song I Have,positive,noon,21-30,318000.0,AF,Low,Medium
 Thanks. Feel so happy 2 Make Ur Day a Great one. Enjoy it 2 the fullest N Have Fun Always,positive,noon,60-70,472710.0,AF,Low,Medium
talking on the phone with someone I`ve missed a lottt.,negative,night,70-100,9093510.0,NA,Low,Medium
"Fml! Ughhhhhhhhh, im not going anwhere today just sit in the bedroom I share with my mother and cry!",negative,morning,0-20,622980.0,AF,Low,Medium
why is it so hard to find good house events in the Sacramento area?,negative,noon,21-30,1259200.0,AF,Low,Medium
_babsi there`s a manual process... but it`s taking 4ever on my outlook database... pffff. crappy msft product,negative,night,31-45,743532.0,SA,Low,Medium
@_Flik_ Good one.   Might think about it for this year`s NaNoWriMo competition.,positive,morning,46-60,9388211.0,AS,Medium,High
 I get to go to coffee now  It`s no fun. I hate it too!,negative,noon,60-70,1109500.0,SA,Low,Medium
The bus is rolling along faster than expected. I might make it home by 6:15. Maybe.,positive,night,70-100,1861.0,AF,Medium,Low
 No worries,positive,morning,0-20,342000.0,Other,Low,Medium
"Oh yeah, Radio1 is SO playing Earth, Wind and Fire",positive,noon,21-30,51060.0,NA,Low,Medium
14 dayssss ahhhh super excited   `they`re telling me that my heart wont beat again`   JLS were awesome yesterday (:,positive,morning,46-60,106440.0,NA,Medium,Medium
 you`re so cute.,positive,noon,60-70,9240.0,AS,Medium,Medium
 thx 4 following  r y a band? What kind of genre that y play? Nice to meet all of y,positive,night,70-100,77240.0,Other,Medium,Medium
prom tonight.. too bad im not going to be there,negative,morning,0-20,2267050.0,AF,Low,Medium
Good day all. Let`s see what we can get accomplished today together.,positive,night,31-45,23180.0,AF,Low,Low
`You Are What U Eat` isn`t EXACTLY true.. `You Are What U Digest` TodayISaProsperous &Productive Day! ThankUJesus!  BeYEBlessed! hee hee,positive,night,70-100,248360.0,SA,Low,Medium
shud realy go 2 bed  proper tired bt cnt b boverd...x,negative,night,31-45,28050.0,AF,Low,Medium
I was just asked by a suit where i was heading to. I didn`t think i looked that much like a ****,negative,noon,60-70,42390.0,EU,Low,Medium
 unless absolutely gorgeous I`d rather men stayed covered up! Have seen sights today to put you off your food.......  #ukpubs,positive,morning,0-20,1000000.0,AF,Medium,High
OK tweeps.. sorry. too many twitpic. I`ll delete those pics as soon as  had `em copied,negative,noon,21-30,18270.0,OC,Low,Low
Obama is the ish!!!!  he is funny!,positive,morning,46-60,547557.0,EU,Medium,Medium
I`m sooo lost without my car  This is truly depressing. Pregnant people should NEVER be this stressed out!,negative,morning,0-20,69490.0,AS,Low,Medium
 I hope your mom is ok?,positive,night,70-100,107160.0,NA,Medium,Medium
 oh lucky u!! i need to send mines away to get fixed,positive,morning,0-20,246000.0,AF,Low,Medium
everyone vote for  for the mtv movie awards coz my comp is mashed up and wont let me vote!  i will somehow!!!!!!,negative,night,31-45,196850.0,SA,Low,Low
Just finished filming for the day  another fun day on the set! Hahaha!,positive,noon,60-70,0.0,Other,High,Low
 'coomee to ja-maiii-cah an feel alllll right!!' hahaha,positive,morning,0-20,90530.0,EU,Medium,Medium
 good song,positive,noon,21-30,100250.0,EU,Low,Low
I dont associate with fake asses!,negative,night,31-45,2973190.0,AS,Medium,High
So much for buying that awesome new phone from sony ericsson  - I am now Berry`d like everyone else...,positive,morning,46-60,1811570.0,AS,Medium,High
HAD SO MUCH FUN TODAY !  i love alyssa arellano and mika reyes ! :*,positive,night,70-100,434320.0,AS,Low,Medium
what a beautiful morning ; it`s time to get up and enjoy the sun,positive,morning,0-20,68890.0,EU,Low,Medium
"SMH!!!! Im sick with this bug that`s going around..Almost everyone I know is sick, including me...",negative,night,31-45,294140.0,EU,Medium,Medium
" this is really helpful,  you swear a lot, i just realized. haha.",positive,noon,60-70,364555.0,AS,Medium,High
to all mothers out there... or even soon to be mothers >8D happy mother`s day y`all,positive,morning,0-20,2699700.0,AS,Low,Medium
 you are the sweetest.  love you cuz!,positive,morning,46-60,17820.0,AS,Medium,Medium
broken my leg  comment me please,negative,noon,60-70,191800.0,AS,Low,Medium
has found that old familiar feeling again.,positive,night,70-100,230800.0,AS,Low,Medium
" Thanks dear, I know this, but I appreciate the validation as always",positive,noon,21-30,10230.0,AS,High,Medium
" I assume you mean 2nd item with 3 nested lines, but no invert call tree button to be found   Ã¯Â¿Â½  Ã¯Â¿Â½   Ã¯Â¿Â½",negative,morning,46-60,96320.0,AF,Low,Medium
weee! internet is back here at home!,positive,noon,60-70,1759540.0,AF,Low,Medium
" oh wait, i messed up my own messed up lyrics, that should be 'don`t concretize it'",negative,night,31-45,581795.0,AF,Low,Medium
Hmm maybe I this time I really did over react and do the worst,negative,noon,21-30,320.0,EU,High,Low
" nooo... as a font connoisseur i can totally relate dude, my heart goes out to you",negative,night,31-45,180.0,OC,Medium,Low
I`m off for tonight good night everyone,positive,morning,46-60,1030700.0,AF,Low,Medium
 my stupid putet won`t let me go to your chat,negative,noon,60-70,2030.0,AF,High,Medium
the tip of my finger hurts  lmao,negative,noon,21-30,32850.0,EU,Medium,Medium
I feel bad for John and Kate. And the 8.,negative,noon,60-70,13450.0,EU,Low,Low
UGH! I have GOT TO STOP biting my nails  grrrrr,negative,noon,21-30,653290.0,Other,Low,Medium
me knows what to be tested on all the exam subjects except for english. **** davis.,negative,morning,46-60,20.0,OC,High,Low
" haha hi mum! wow yes, very modern of you. now you just need to get a facebook account! p.s. talk to me by writing ",positive,noon,60-70,143350.0,AS,Medium,Medium
" yeah, that doesn`t sound very good",negative,night,70-100,33720.0,EU,High,Medium
 hot weather for the lose. And I have to clean too!  Cleaning in the heat sucks balls.,negative,morning,46-60,910770.0,AF,Medium,High
Yay! Just bought American Dad Volume 4  also seen Australia is out on DVD. Could be a lot cheaper than going...,positive,noon,60-70,120410.0,AS,Medium,Medium
_benson the Macarena never looked so good. Loved the 'Aaaaiieee' squeak / exclamation,positive,night,70-100,25220.0,EU,Low,Medium
Saw this lil girl that has big eyes and hair like Dora the explorer. How cute,positive,noon,21-30,309500.0,AS,Low,Medium
 *dancing pirouette ballerina HUGS*  Morning my Awesome brudder!,positive,night,31-45,770880.0,AS,Medium,High
" Thank You, Sweetie. I just don` understand how people can be mad at me for something THEY made as a choice in life..",positive,morning,46-60,460.0,OC,Low,Low
" Good luck with your breakfast search. But here in the US, I have to go to bed. lol. Goodnight David.",positive,noon,60-70,6020.0,Other,High,Medium
 gray! .... i so feel neglected,negative,night,70-100,74340.0,NA,Low,Medium
Can`t sleep!!! People keep textin me!!!,negative,morning,0-20,452860.0,OC,Low,Medium
 No happy hour in CCP eithah that`s 2 bad,negative,night,31-45,1280000.0,SA,Low,Medium
I`m wishing I was outside instead of trapped in my office.,positive,morning,46-60,298170.0,AS,Medium,High
  have funnn!,positive,noon,60-70,306000.0,EU,Medium,Medium
Watching Thomas The Train Engine makes me miss George Carlin,negative,night,70-100,91590.0,EU,Medium,Medium
 DSi is the latest Nintendo DS with 2 cameras + stuff built in. We are a Gadget house. Luckily I get my blackberrys free from work,positive,morning,0-20,11610.0,AS,Medium,Medium
